type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.092051701	120.824648102	459.0						
T	14.091251815	120.825065915	454.6						
T	14.090650298	120.825069193	448.9						
T	14.089445132	120.824662312	435.4						
T	14.088238901	120.824048721	435.2						
T	14.087232110	120.823227331	443.1						
T	14.086024821	120.822407050	446.1						
T	14.085219610	120.821791300	445.5						
T	14.083006623	120.820356408	419.1						
T	14.082001991	120.819948489	379.0						
T	14.081397284	120.819331669	372.9						
T	14.079384817	120.817895746	405.0						
T	14.077975985	120.816869952	404.7						
T	14.076969219	120.816048666	374.5						
T	14.075359898	120.815024006	427.0						
T	14.074550403	120.813581543	403.2						
T	14.073142649	120.812762507	394.2						
T	14.072336375	120.811940157	388.0						
T	14.071732744	120.811530094	396.4						
T	14.070524405	120.810503281	414.0						
T	14.069111259	120.808650822	437.8						
T	14.068707038	120.808032970	445.4						
T	14.067695939	120.806385003	464.5						
T	14.067291713	120.805767159	467.0						
T	14.065878531	120.803914752	495.7						
T	14.065067895	120.802265700	509.5						
T	14.063855175	120.800412205	541.5						
T	14.063448758	120.799380998	534.2						
T	14.062841842	120.798350913	501.6						
T	14.061428590	120.796498560	443.3						
T	14.060618982	120.795056228	420.8						
T	14.060012041	120.794026153	407.3						
T	14.059203505	120.792790514	411.5						
T	14.057586404	120.790319244	494.2						
T	14.056978334	120.789082485	554.5						
T	14.056170856	120.788053542	530.1						
T	14.055158469	120.786198966	483.9						
T	14.054347661	120.784549948	501.6						
T	14.053737333	120.782899797	459.9						
T	14.053534623	120.782487543	462.8						
T	14.053129200	120.781663028	472.1						
T	14.052721557	120.780425124	447.8						
T	14.052518841	120.780012865	433.9						
T	14.052108965	120.778361561	386.8						
T	14.051906243	120.777949299	365.6						
T	14.051296954	120.776505815	306.8						
T	14.050889268	120.775267885	268.4						
T	14.050683193	120.774235519	247.4						
T	14.049675089	120.773207686	242.4						
T	14.049269609	120.772383146	237.1						
T	14.048463109	120.771560877	220.7						
T	14.048056496	120.770529628	207.6						
T	14.047649875	120.769498373	199.1						
T	14.047243246	120.768467111	188.1						
T	14.046637223	120.767643694	177.4						
T	14.046231702	120.766819132	171.9						
T	14.045625664	120.765995704	166.1						
T	14.045220131	120.765171134	163.5						
T	14.044614078	120.764347703	156.1						
T	14.044008016	120.763524263	146.5						
T	14.043403079	120.762907536	140.0						
T	14.042597618	120.762291944	137.8						
T	14.041794417	120.762089778	133.1						
T	14.040992344	120.762094326	137.4						
T	14.040391922	120.762304452	139.2						
T	14.039391591	120.762723556	147.6						
T	14.038990552	120.762725827	149.0						
T	14.037989082	120.762938215	148.0						
T	14.036789356	120.763565150	148.6						
T	14.036593369	120.764393119	154.0						
T	14.036596768	120.765013242	156.9						
T	14.036604691	120.766460182	169.8						
T	14.037013640	120.767904839	173.5						
T	14.037218674	120.768730516	177.1						
T	14.037627600	120.770175156	185.4						
T	14.037834866	120.771414214	180.9						
T	14.038039878	120.772239873	185.5						
T	14.038448764	120.773684480	198.5						
T	14.038855397	120.774715692	209.2						
T	14.039467004	120.776572538	233.5						
T	14.040074124	120.777602607	240.4						
T	14.040686801	120.779666114	268.2						
T	14.040691252	120.780492866	279.3						
T	14.041306109	120.782969719	336.5						
T	14.041711558	120.783794208	357.9						
T	14.042320829	120.785237621	417.7						
T	14.043128382	120.786266538	459.9						
T	14.044339139	120.787706570	491.4						
T	14.044541847	120.788118811	494.2						
T	14.045953079	120.789557722	538.4						
T	14.046555687	120.789761033	553.1						
T	14.047766386	120.791201068	579.9						
T	14.048977067	120.792641107	563.1						
T	14.049988322	120.794288950	515.7						
T	14.051604327	120.796553478	479.7						
T	14.052814941	120.797993529	491.9						
T	14.053419698	120.798610216	514.0						
T	14.054025539	120.799433588	535.4						
T	14.055233948	120.800460289	552.9						
T	14.056039187	120.801075866	552.7						
T	14.057452413	120.802928194	503.7						
T	14.058258723	120.803750464	528.2						
T	14.059065028	120.804572738	539.1						
T	14.060677626	120.806217299	496.3						
T	14.061887064	120.807450732	467.4						
T	14.062694430	120.808479714	470.1						
T	14.064912776	120.810947744	443.0						
T	14.065717974	120.811563372	438.4						
T	14.066324828	120.812593493	430.4						
T	14.067332663	120.813621406	430.7						
T	14.068946265	120.815472780	449.3						
T	14.069349396	120.815883955	463.8						
T	14.070357220	120.816911901	447.0						
T	14.070559857	120.817324186	427.2						
T	14.071567678	120.818352147	415.2						
T	14.072175581	120.819589021	473.0						
T	14.072781340	120.820412509	487.6						
T	14.073186605	120.821237102	500.9						
T	14.074194419	120.822265104	486.6						
T	14.074800174	120.823088613	473.3						
T	14.075405929	120.823912129	449.6						
T	14.075810121	120.824530045	431.1						
T	14.076414807	120.825146868	419.4						
T	14.077021626	120.826177109	436.5						
T	14.077625247	120.826587238	447.0						
T	14.078633059	120.827615310	465.1						
T	14.079037249	120.828233253	454.8						
T	14.079845629	120.829469148	449.2						
T	14.080655070	120.830911775	480.6						
T	14.081060322	120.831736452	487.9						
T	14.081266136	120.832768939	477.7						
T	14.081069884	120.833596888	480.7						
T	14.081074131	120.834423751	490.0						
T	14.081079436	120.835457336	507.2						
T	14.080682675	120.836286374	523.2						
T	14.079881734	120.836497422	529.1						
T	14.079081851	120.836915188	534.1						
T	14.078279851	120.836919519	531.9						
T	14.077678353	120.836922768	520.2						
T	14.075873862	120.836932518	515.0						
T	14.074670870	120.836939022	519.1						
T	14.073866764	120.836529936	530.9						
T	14.072056999	120.835506159	545.4						
T	14.071050284	120.834684766	519.8						
T	14.069642577	120.833865561	513.1						
T	14.068030142	120.832220658	498.8						
T	14.067425479	120.831603829	501.3						
T	14.065813040	120.829958979	525.7						
T	14.064602647	120.828518669	524.1						
T	14.064199535	120.828107471	525.3						
T	14.062989135	120.826667192	518.8						
T	14.062583895	120.825842618	534.0						
T	14.061978159	120.825019148	546.0						
T	14.061168733	120.823576716	560.5						
T	14.060763484	120.822752162	561.9						
